06.05.2012 1:22:35     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:35     GET DATA    00 02 00 00 00 05 01 03 02 00 F6 
06.05.2012 1:22:35     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:35     GET DATA    00 01 00 00 00 07 01 03 04 00 A4 00 00 
06.05.2012 1:22:35     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:35     GET DATA    00 00 00 00 00 05 01 03 02 00 52 
06.05.2012 1:22:35     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:35     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:35     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:35     GET DATA    00 04 00 00 00 05 01 03 02 EC 9A 
06.05.2012 1:22:35     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:35     GET DATA    00 03 00 00 00 07 01 03 04 01 48 00 00 
06.05.2012 1:22:36     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:36     GET DATA    00 02 00 00 00 05 01 03 02 00 F9 
06.05.2012 1:22:36     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:36     GET DATA    00 01 00 00 00 07 01 03 04 00 A6 00 00 
06.05.2012 1:22:36     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:36     GET DATA    00 00 00 00 00 05 01 03 02 00 53 
06.05.2012 1:22:36     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:36     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:36     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:36     GET DATA    00 04 00 00 00 05 01 03 02 F2 9F 
06.05.2012 1:22:36     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
